id,name,baseValue,rarity,category,modelPath,preset
toolbookfish_plastic_matte,물고기 도감 (매트 플라스틱),80000,1,액세서리,assets/models/ToolBookFish.glb,plastic_matte
toolbookfish_plastic_gloss,물고기 도감 (글로시 플라스틱),88000,0.95,액세서리,assets/models/ToolBookFish.glb,plastic_gloss
toolbookfish_rubber_soft,물고기 도감 (소프트 러버),84000,1,액세서리,assets/models/ToolBookFish.glb,rubber_soft
toolbookfish_ceramic_clean,물고기 도감 (클린 세라믹),96000,0.9,액세서리,assets/models/ToolBookFish.glb,ceramic_clean
toolbookfish_metal_brushed,물고기 도감 (브러시드 메탈),108000,0.8,액세서리,assets/models/ToolBookFish.glb,metal_brushed
toolbookfish_metal_polished,물고기 도감 (폴리시드 메탈),120000,0.7,액세서리,assets/models/ToolBookFish.glb,metal_polished
toolbookfish_paint_clearcoat,물고기 도감 (클리어코트 페인트),104000,0.85,액세서리,assets/models/ToolBookFish.glb,paint_clearcoat
toolbookfish_fabric_sheen,물고기 도감 (패브릭 쉰),92000,0.95,액세서리,assets/models/ToolBookFish.glb,fabric_sheen
toolbookfish_glass_clear,물고기 도감 (클리어 글래스),128000,0.6,액세서리,assets/models/ToolBookFish.glb,glass_clear
toolbookfish_resin_tinted,물고기 도감 (틴티드 레진),116000,0.75,액세서리,assets/models/ToolBookFish.glb,resin_tinted
toolbookfish_matcap_clay,물고기 도감 (클레이),84000,1,액세서리,assets/models/ToolBookFish.glb,matcap_clay
toolbookfish_matcap_wax,물고기 도감 (왁스),88000,0.95,액세서리,assets/models/ToolBookFish.glb,matcap_wax
toolbookfish_matcap_chrome,물고기 도감 (크롬),124000,0.65,액세서리,assets/models/ToolBookFish.glb,matcap_chrome
toolbookfish_matcap_bronze,물고기 도감 (브론즈),112000,0.8,액세서리,assets/models/ToolBookFish.glb,matcap_bronze
toolbookfish_matcap_black_rubber,물고기 도감 (블랙 러버),86400,1,액세서리,assets/models/ToolBookFish.glb,matcap_black_rubber
toolbookfish_matcap_red_wax,물고기 도감 (레드 왁스),92000,0.9,액세서리,assets/models/ToolBookFish.glb,matcap_red_wax
toolbookfish_matcap_white_ceramic,물고기 도감 (화이트 세라믹),100000,0.85,액세서리,assets/models/ToolBookFish.glb,matcap_white_ceramic
toolbookfish_matcap_blue_gloss,물고기 도감 (블루 글로시),96000,0.9,액세서리,assets/models/ToolBookFish.glb,matcap_blue_gloss
toolbookfish_matcap_gold,물고기 도감 (골드),136000,0.5,액세서리,assets/models/ToolBookFish.glb,matcap_gold
toolbookfish_matcap_silver_soft,물고기 도감 (소프트 실버),108000,0.8,액세서리,assets/models/ToolBookFish.glb,matcap_silver_soft
toolbranch_plastic_matte,나무 지팡이 (매트 플라스틱),40000,1.5,액세서리,assets/models/ToolBranch.glb,plastic_matte
toolbranch_plastic_gloss,나무 지팡이 (글로시 플라스틱),44000,1.45,액세서리,assets/models/ToolBranch.glb,plastic_gloss
toolbranch_rubber_soft,나무 지팡이 (소프트 러버),42000,1.5,액세서리,assets/models/ToolBranch.glb,rubber_soft
toolbranch_ceramic_clean,나무 지팡이 (클린 세라믹),48000,1.4,액세서리,assets/models/ToolBranch.glb,ceramic_clean
toolbranch_metal_brushed,나무 지팡이 (브러시드 메탈),54000,1.3,액세서리,assets/models/ToolBranch.glb,metal_brushed
toolbranch_metal_polished,나무 지팡이 (폴리시드 메탈),60000,1.2,액세서리,assets/models/ToolBranch.glb,metal_polished
toolbranch_paint_clearcoat,나무 지팡이 (클리어코트 페인트),52000,1.35,액세서리,assets/models/ToolBranch.glb,paint_clearcoat
toolbranch_fabric_sheen,나무 지팡이 (패브릭 쉰),46000,1.45,액세서리,assets/models/ToolBranch.glb,fabric_sheen
toolbranch_glass_clear,나무 지팡이 (클리어 글래스),64000,1.1,액세서리,assets/models/ToolBranch.glb,glass_clear
toolbranch_resin_tinted,나무 지팡이 (틴티드 레진),58000,1.25,액세서리,assets/models/ToolBranch.glb,resin_tinted
toolbranch_matcap_clay,나무 지팡이 (클레이),42000,1.5,액세서리,assets/models/ToolBranch.glb,matcap_clay
toolbranch_matcap_wax,나무 지팡이 (왁스),44000,1.45,액세서리,assets/models/ToolBranch.glb,matcap_wax
toolbranch_matcap_chrome,나무 지팡이 (크롬),62000,1.15,액세서리,assets/models/ToolBranch.glb,matcap_chrome
toolbranch_matcap_bronze,나무 지팡이 (브론즈),56000,1.3,액세서리,assets/models/ToolBranch.glb,matcap_bronze
toolbranch_matcap_black_rubber,나무 지팡이 (블랙 러버),43200,1.5,액세서리,assets/models/ToolBranch.glb,matcap_black_rubber
toolbranch_matcap_red_wax,나무 지팡이 (레드 왁스),46000,1.4,액세서리,assets/models/ToolBranch.glb,matcap_red_wax
toolbranch_matcap_white_ceramic,나무 지팡이 (화이트 세라믹),50000,1.35,액세서리,assets/models/ToolBranch.glb,matcap_white_ceramic
toolbranch_matcap_blue_gloss,나무 지팡이 (블루 글로시),48000,1.4,액세서리,assets/models/ToolBranch.glb,matcap_blue_gloss
