id,name,baseValue,rarity,category,modelPath,preset
ftrgamechair_plastic_matte,Ftr Game Chair (매트 플라스틱),15000,1,액세서리,assets/models/FtrGameChair.glb,plastic_matte
ftrgamechair_plastic_gloss,Ftr Game Chair (글로시 플라스틱),16500,0.95,액세서리,assets/models/FtrGameChair.glb,plastic_gloss
ftrgamechair_rubber_soft,Ftr Game Chair (소프트 러버),15800,1,액세서리,assets/models/FtrGameChair.glb,rubber_soft
ftrgamechair_ceramic_clean,Ftr Game Chair (클린 세라믹),18000,0.9,액세서리,assets/models/FtrGameChair.glb,ceramic_clean
ftrgamechair_metal_brushed,Ftr Game Chair (브러시드 메탈),20300,0.8,액세서리,assets/models/FtrGameChair.glb,metal_brushed
ftrgamechair_metal_polished,Ftr Game Chair (폴리시드 메탈),22500,0.7,액세서리,assets/models/FtrGameChair.glb,metal_polished
ftrgamechair_paint_clearcoat,Ftr Game Chair (클리어코트 페인트),19500,0.85,액세서리,assets/models/FtrGameChair.glb,paint_clearcoat
ftrgamechair_fabric_sheen,Ftr Game Chair (패브릭 쉰),17300,0.95,액세서리,assets/models/FtrGameChair.glb,fabric_sheen
ftrgamechair_glass_clear,Ftr Game Chair (클리어 글래스),24000,0.6,액세서리,assets/models/FtrGameChair.glb,glass_clear
ftrgamechair_resin_tinted,Ftr Game Chair (틴티드 레진),21800,0.75,액세서리,assets/models/FtrGameChair.glb,resin_tinted
ftrgamechair_matcap_clay,Ftr Game Chair (클레이),15800,1,액세서리,assets/models/FtrGameChair.glb,matcap_clay
ftrgamechair_matcap_wax,Ftr Game Chair (왁스),16500,0.95,액세서리,assets/models/FtrGameChair.glb,matcap_wax
ftrgamechair_matcap_chrome,Ftr Game Chair (크롬),23300,0.65,액세서리,assets/models/FtrGameChair.glb,matcap_chrome
ftrgamechair_matcap_bronze,Ftr Game Chair (브론즈),21000,0.8,액세서리,assets/models/FtrGameChair.glb,matcap_bronze
ftrgamechair_matcap_black_rubber,Ftr Game Chair (블랙 러버),16200,1,액세서리,assets/models/FtrGameChair.glb,matcap_black_rubber
ftrgamechair_matcap_red_wax,Ftr Game Chair (레드 왁스),17300,0.9,액세서리,assets/models/FtrGameChair.glb,matcap_red_wax
ftrgamechair_matcap_white_ceramic,Ftr Game Chair (화이트 세라믹),18800,0.85,액세서리,assets/models/FtrGameChair.glb,matcap_white_ceramic
ftrgamechair_matcap_blue_gloss,Ftr Game Chair (블루 글로시),18000,0.9,액세서리,assets/models/FtrGameChair.glb,matcap_blue_gloss
ftrgamechair_matcap_gold,Ftr Game Chair (골드),25500,0.5,액세서리,assets/models/FtrGameChair.glb,matcap_gold
ftrgamechair_matcap_silver_soft,Ftr Game Chair (소프트 실버),20300,0.8,액세서리,assets/models/FtrGameChair.glb,matcap_silver_soft
ftrgarbagebag_plastic_matte,Ftr Garbagebag (매트 플라스틱),15000,1,액세서리,assets/models/FtrGarbagebag.glb,plastic_matte
ftrgarbagebag_plastic_gloss,Ftr Garbagebag (글로시 플라스틱),16500,0.95,액세서리,assets/models/FtrGarbagebag.glb,plastic_gloss
ftrgarbagebag_rubber_soft,Ftr Garbagebag (소프트 러버),15800,1,액세서리,assets/models/FtrGarbagebag.glb,rubber_soft
ftrgarbagebag_ceramic_clean,Ftr Garbagebag (클린 세라믹),18000,0.9,액세서리,assets/models/FtrGarbagebag.glb,ceramic_clean
ftrgarbagebag_metal_brushed,Ftr Garbagebag (브러시드 메탈),20300,0.8,액세서리,assets/models/FtrGarbagebag.glb,metal_brushed
ftrgarbagebag_metal_polished,Ftr Garbagebag (폴리시드 메탈),22500,0.7,액세서리,assets/models/FtrGarbagebag.glb,metal_polished
ftrgarbagebag_paint_clearcoat,Ftr Garbagebag (클리어코트 페인트),19500,0.85,액세서리,assets/models/FtrGarbagebag.glb,paint_clearcoat
ftrgarbagebag_fabric_sheen,Ftr Garbagebag (패브릭 쉰),17300,0.95,액세서리,assets/models/FtrGarbagebag.glb,fabric_sheen
ftrgarbagebag_glass_clear,Ftr Garbagebag (클리어 글래스),24000,0.6,액세서리,assets/models/FtrGarbagebag.glb,glass_clear
ftrgarbagebag_resin_tinted,Ftr Garbagebag (틴티드 레진),21800,0.75,액세서리,assets/models/FtrGarbagebag.glb,resin_tinted
ftrgarbagebag_matcap_clay,Ftr Garbagebag (클레이),15800,1,액세서리,assets/models/FtrGarbagebag.glb,matcap_clay
ftrgarbagebag_matcap_wax,Ftr Garbagebag (왁스),16500,0.95,액세서리,assets/models/FtrGarbagebag.glb,matcap_wax
ftrgarbagebag_matcap_chrome,Ftr Garbagebag (크롬),23300,0.65,액세서리,assets/models/FtrGarbagebag.glb,matcap_chrome
ftrgarbagebag_matcap_bronze,Ftr Garbagebag (브론즈),21000,0.8,액세서리,assets/models/FtrGarbagebag.glb,matcap_bronze
ftrgarbagebag_matcap_black_rubber,Ftr Garbagebag (블랙 러버),16200,1,액세서리,assets/models/FtrGarbagebag.glb,matcap_black_rubber
ftrgarbagebag_matcap_red_wax,Ftr Garbagebag (레드 왁스),17300,0.9,액세서리,assets/models/FtrGarbagebag.glb,matcap_red_wax
ftrgarbagebag_matcap_white_ceramic,Ftr Garbagebag (화이트 세라믹),18800,0.85,액세서리,assets/models/FtrGarbagebag.glb,matcap_white_ceramic
ftrgarbagebag_matcap_blue_gloss,Ftr Garbagebag (블루 글로시),18000,0.9,액세서리,assets/models/FtrGarbagebag.glb,matcap_blue_gloss
ftrgarbagebag_matcap_gold,Ftr Garbagebag (골드),25500,0.5,액세서리,assets/models/FtrGarbagebag.glb,matcap_gold
ftrgarbagebag_matcap_silver_soft,Ftr Garbagebag (소프트 실버),20300,0.8,액세서리,assets/models/FtrGarbagebag.glb,matcap_silver_soft
ftrgearwallgold_plastic_matte,Ftr Gear Wall Gold (매트 플라스틱),15000,1,액세서리,assets/models/FtrGearWallGold.glb,plastic_matte
ftrgearwallgold_plastic_gloss,Ftr Gear Wall Gold (글로시 플라스틱),16500,0.95,액세서리,assets/models/FtrGearWallGold.glb,plastic_gloss
ftrgearwallgold_rubber_soft,Ftr Gear Wall Gold (소프트 러버),15800,1,액세서리,assets/models/FtrGearWallGold.glb,rubber_soft
ftrgearwallgold_ceramic_clean,Ftr Gear Wall Gold (클린 세라믹),18000,0.9,액세서리,assets/models/FtrGearWallGold.glb,ceramic_clean
ftrgearwallgold_metal_brushed,Ftr Gear Wall Gold (브러시드 메탈),20300,0.8,액세서리,assets/models/FtrGearWallGold.glb,metal_brushed
ftrgearwallgold_metal_polished,Ftr Gear Wall Gold (폴리시드 메탈),22500,0.7,액세서리,assets/models/FtrGearWallGold.glb,metal_polished
ftrgearwallgold_paint_clearcoat,Ftr Gear Wall Gold (클리어코트 페인트),19500,0.85,액세서리,assets/models/FtrGearWallGold.glb,paint_clearcoat
ftrgearwallgold_fabric_sheen,Ftr Gear Wall Gold (패브릭 쉰),17300,0.95,액세서리,assets/models/FtrGearWallGold.glb,fabric_sheen
ftrgearwallgold_glass_clear,Ftr Gear Wall Gold (클리어 글래스),24000,0.6,액세서리,assets/models/FtrGearWallGold.glb,glass_clear
ftrgearwallgold_resin_tinted,Ftr Gear Wall Gold (틴티드 레진),21800,0.75,액세서리,assets/models/FtrGearWallGold.glb,resin_tinted
ftrgearwallgold_matcap_clay,Ftr Gear Wall Gold (클레이),15800,1,액세서리,assets/models/FtrGearWallGold.glb,matcap_clay
ftrgearwallgold_matcap_wax,Ftr Gear Wall Gold (왁스),16500,0.95,액세서리,assets/models/FtrGearWallGold.glb,matcap_wax
ftrgearwallgold_matcap_chrome,Ftr Gear Wall Gold (크롬),23300,0.65,액세서리,assets/models/FtrGearWallGold.glb,matcap_chrome
ftrgearwallgold_matcap_bronze,Ftr Gear Wall Gold (브론즈),21000,0.8,액세서리,assets/models/FtrGearWallGold.glb,matcap_bronze
ftrgearwallgold_matcap_black_rubber,Ftr Gear Wall Gold (블랙 러버),16200,1,액세서리,assets/models/FtrGearWallGold.glb,matcap_black_rubber
ftrgearwallgold_matcap_red_wax,Ftr Gear Wall Gold (레드 왁스),17300,0.9,액세서리,assets/models/FtrGearWallGold.glb,matcap_red_wax
ftrgearwallgold_matcap_white_ceramic,Ftr Gear Wall Gold (화이트 세라믹),18800,0.85,액세서리,assets/models/FtrGearWallGold.glb,matcap_white_ceramic
ftrgearwallgold_matcap_blue_gloss,Ftr Gear Wall Gold (블루 글로시),18000,0.9,액세서리,assets/models/FtrGearWallGold.glb,matcap_blue_gloss
ftrgearwallgold_matcap_gold,Ftr Gear Wall Gold (골드),25500,0.5,액세서리,assets/models/FtrGearWallGold.glb,matcap_gold
ftrgearwallgold_matcap_silver_soft,Ftr Gear Wall Gold (소프트 실버),20300,0.8,액세서리,assets/models/FtrGearWallGold.glb,matcap_silver_soft
ftrgong_plastic_matte,Ftr Gong (매트 플라스틱),15000,1,액세서리,assets/models/FtrGong.glb,plastic_matte
ftrgong_plastic_gloss,Ftr Gong (글로시 플라스틱),16500,0.95,액세서리,assets/models/FtrGong.glb,plastic_gloss
ftrgong_rubber_soft,Ftr Gong (소프트 러버),15800,1,액세서리,assets/models/FtrGong.glb,rubber_soft
ftrgong_ceramic_clean,Ftr Gong (클린 세라믹),18000,0.9,액세서리,assets/models/FtrGong.glb,ceramic_clean
ftrgong_metal_brushed,Ftr Gong (브러시드 메탈),20300,0.8,액세서리,assets/models/FtrGong.glb,metal_brushed
ftrgong_metal_polished,Ftr Gong (폴리시드 메탈),22500,0.7,액세서리,assets/models/FtrGong.glb,metal_polished
ftrgong_paint_clearcoat,Ftr Gong (클리어코트 페인트),19500,0.85,액세서리,assets/models/FtrGong.glb,paint_clearcoat
ftrgong_fabric_sheen,Ftr Gong (패브릭 쉰),17300,0.95,액세서리,assets/models/FtrGong.glb,fabric_sheen
ftrgong_glass_clear,Ftr Gong (클리어 글래스),24000,0.6,액세서리,assets/models/FtrGong.glb,glass_clear
